Neighbourhood.Name,Neighbourhood_Number,Gini_i_HH_tIncome,Avg_HH_size,Avg_tIncome_HH_in_2020,Race_Total,Prop_Black,Prop_Arab,Prop_Latin_Amrican,Prop_East_SouthEast_Asian,Prop_West_Asian,Prop_multi_vis_minority,Prop_non_vis_minority,Total Population,Unemployment_rate,Prop_no_dip,Prop_HS_or_equi,Prop_PS_non_Bach,Prop_PS_Bach,Prop_Graduate,TOTAL_CRIME_RATE_2015,TOTAL_CRIME_RATE_2016,TOTAL_CRIME_RATE_2017
Pelmo.Park.Humberlea,23,0.3,2.9,114200,11290,0.1448184234,0.004428697963,0.07705934455,0.1882196634,0.01417183348,0.02081488043,0.47829938,9600,13.8,0.2178217822,0.2761855133,0.2683689422,0.1688379364,0.06878582595,1045.176686,1302.671344,1363.905089
Black.Creek,24,0.3,2.9,74700,21145,0.308820052,0.03830692835,0.07803263183,0.2291321825,0.02648380232,0.039962166,0.1558288011,17145,19.5,0.3287631272,0.321470245,0.2301633606,0.08984830805,0.02975495916,1549.24451,1869.64245,1477.70814
Glenfield.Jane.Heights,25,0.3,3,84200,30025,0.2333055787,0.007660283097,0.1084096586,0.289092423,0.01665278934,0.0431307244,0.2144879267,25075,19.1,0.3351286655,0.3213644524,0.2244165171,0.09235986435,0.0267305007,1659.28971,1615.3663,1515.28566
York.University.Heights,27,0.3,2.7,87500,28255,0.1978410901,0.01061758981,0.06122810122,0.2528755972,0.02017342063,0.0311449301,0.2426119271,24395,16.4,0.1902419024,0.2900779008,0.2478474785,0.192496925,0.07933579336,2203.50752,2370.15451,2342.84214
Rustic,28,0.3,2.7,83500,9390,0.3727369542,0.002662406816,0.07561235357,0.1038338658,0.001597444089,0.02289669862,0.3610223642,7765,18.6,0.2792792793,0.3294723295,0.250965251,0.1048906049,0.03539253539,1180.40782,1174.86264,969.03784
Maple.Leaf,29,0.3,2.7,105700,9840,0.07113821138,0.01067073171,0.09552845528,0.1778455285,0.006605691057,0.02591463415,0.5264227642,8390,14.8,0.2520858164,0.26340882,0.2681764005,0.1692491061,0.04707985697,719.176003,758.20058,439.033421
Brookhaven.Amesbury,30,0.3,2.7,89400,17495,0.2832237782,0.005144326951,0.09488425264,0.2006287511,0.005144326951,0.0362960846,0.3043726779,14430,17.2,0.2768537769,0.3063063063,0.2512127512,0.1191961192,0.04643104643,1247.09895,1155.49046,1156.3595
Yorkdale.Glen.Park,31,0.3,2.4,95700,16625,0.1019548872,0.006917293233,0.08210526316,0.2036090226,0.009022556391,0.02616541353,0.4854135338,14560,16,0.2327497425,0.2451081359,0.2214212152,0.20425678,0.09646412633,2012.19554,2269.741226,2258.70142
Englemount.Lawrence,32,0.4,2.6,125200,21290,0.1012212306,0.004697040864,0.03170502583,0.2322686707,0.01221230625,0.0157350869,0.5629403476,16980,12.6,0.1377280753,0.2772218952,0.2216009417,0.2316068275,0.1318422602,962.69806,1191.1494,918.16882
Clanton.Park,33,0.4,2.5,124500,17620,0.05760499432,0.004824063564,0.03263337117,0.2630533485,0.01929625426,0.02355278093,0.5368898978,14775,12.1,0.1100575686,0.2279038266,0.2356925161,0.2756518794,0.1506942093,904.601598,972.327126,918.483613
